NREL category (Component category),NREL category (Associated Project),NREL category (turbine rating in MW),Arrival Date,Shipment Origin,Shipment Destination,Quantity of Blades,Quantity,Measurement,Weight (Original Format),Value of Goods (USD),HS Code,Goods Shipped
Blades,Block Island,6,2016-06-27,France,"ProvPort, Providence, Rhode Island",15,15 PCS, ,508749 K,2554000,Classified: 8412.90,"WIND TURBINE BLADES LM 73, 5 P ILPS ALSTOM WIND"
Blades (and other key components on the same shipment),CVOW-Pilot,6,2020-06-18,Denmark,"Port of Virginia, Norfolk, Virginia",6,19 PCS, ,1797750 KG,1451000,; ; Classified: 8413.60; ; Classified: 8483.40; Classified: 7326.90,"CONSUMABLES; CONSUMABLES; SITE PARTS CANADA; CONSUMABLES; BLADE_B75 - SET 747 BLADE _B75 - SET 747 BLADE _B75 - SET 747 BLADE _B75 - SET 746 BLADE _B75 - SET 746 BLADE _B75 - SET 746 CLICKED NACELLE_WTG NO CV01 CLICKED NACELLE_WTG NO CV02 LIDAR (MOUNTED ON NACELLE) AVI/NAVI (MOUNTED ON NACELLE) TOWER (CONSISTING OF TOWER BOTTOM, TOWER MID, TOWER TOP) TOWER (CONSISTING OF TOWER BOTTOM, TOWER MID, TOWER TOP) HALF PLATFORM (ALREADY INCLUDED IN THE HALF-T OWER) SITE PARTS (DK) ALREADY INCLUDED IN THE HALF- TOWERS; SITE PARTS (US)"
Blades,Vineyard Wind 1,13,2023-06-06,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,117912 K,1119000,Classified: 8502.31,LM 107. 0 P2 W/30MM STIFF PLT GE WIND BLADE
Equipment for tranportation of blades,Vineyard Wind 1,13,2023-06-06,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS,1820448 CM,229800 K,1991000,Classified: 8479.90,SAID TO BE: 6 BLADE STACKING FRAME ROOT WITH INTERFACE ROOT 6 BLADE STACKING FRAME TIP WITH INTERFACE TIP
Equipment for tranportation of blades,Vineyard Wind 1,13,2023-06-17,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS,1820 CM,229800 K,1991000,Classified: 8479.90,6 BLADE STACKING FRAME ROOT WITH INTERFACE ROOT 6 BLADE STACKING FRAME TIP WITH INTERFACE TIP
Blades,Vineyard Wind 1,13,2023-06-17,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,117912 K,1119000,Classified: 8502.31,30MM STIFF PLT GE WIND BLADE 30MM STIFF PLT GE WIND BLADE
Blades,Vineyard Wind 1,13,2023-07-02,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,117912 K,732000,Classified: 8502.31,30MM STIFF PLT GE WIND BLADE 30MM STIFF PLT GE WIND BLADE
Equipment for tranportation of blades,Vineyard Wind 1,13,2023-07-02,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS,1820 CM,229800 K,11057000,Classified: 8479.90,BLADE STACKING FRAME ROOT WITH INTERFACE ROOT BLADE STACKING FRAME TIP WITH INTERFACE TIP
Equipment for tranportation of blades,Vineyard Wind 1,13,2023-07-18,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS,1929872 CM,229800 K,11057000,Classified: 8479.90,SAID TO BE 6 BLADE STACKING FRAME ROOT WITH INTERFCE ROOT 6 BLADE STACKING FRAME TIP WITH INTERFACE TIP
Blades,Vineyard Wind 1,13,2023-07-18,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,2195000,Classified: 8502.31,LM 107. 0 P2 W/30MM STIFF PLT GE WIND BLADE
Blades,South Fork,11,2023-08-15,Denmark,"Port Of Entry-New London, New London, Connecticut",12,12 UNT, ,516000 KG,6607000,Classified: 8711.20,1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 203 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 203 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 203 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 204 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 204 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 204 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 205 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 205 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 205 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 206 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 206 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 206
Equipment for tranportation of blades,Vineyard Wind 1,13,2023-08-20,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS,1929 CM,229800 K,693000,Classified: 7326.90,BLADE STACKING FRAME ROOT BLADE STACKING FRAME TIP
Blades,Vineyard Wind 1,13,2023-08-20,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,6542000,Classified: 8202.20,BLADES
Equipment for tranportation of blades,Vineyard Wind 1,13,2023-09-04,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS,1929 CM,229800 K,693000,Classified: 7326.90,6 PCS BLADE STACKING FRAME ROOT W/INTERFACE ROOT 6 PCS BLADE STACKING FRAME TIP W/INTERFACE TIP
Blades,Vineyard Wind 1,13,2023-09-04,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,3398000,Classified: 8502.31,LM 107. 0 P2 W/30MM STIFF PLT GE WIND BLADE
Blades,Vineyard Wind 1,13,2023-09-18,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,3398000,Classified: 8502.31,LM 107. 0 P2 W/30MM STIFF PLT GE WIND BLADE
Equipment for tranportation of blades,Vineyard Wind 1,13,2023-09-18,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS, CM,229800 K,1861000,Classified: 8479.90,6 PCS BLADE STACKING FRAME ROOT WITH INTERFACE ROOT 6 PCS BLADE STACKING FRAME TIP WITH INTERFACE TIP
Equipment for tranportation of blades,South Fork,11,2023-09-19,Denmark,"Port Of Entry-New London, New London, Connecticut",-,204 UNT, ,139365 KG,328000,Classified: 7304.29,"TRANSPORT-EQUIPMENT FOR 12 BLADES (MOUNTED ON THE BLADES): 12 X ROOT BLADE FOOT NB12 12 X ROOT ADAPTOR CONNECTOR NB12 RIGHT 12 X ROOT ADAPTOR CONNECTOR NB12, LEFT 12 X ROOT SUPPORT B81-NB12 (RETRO B75), ASSY 24 X TUBE SPACER 5 NB12, 2 PCS 108 X TUBE SPACER 3 NB12, 9 PCS 12 X TIP CLAMP NB12, ASM 12 X B81-NB12 TIP LOWER SECTION, ASSY. 204 ALL UNITS FIRMLY ATTACHED TO BLADES"
Blades,South Fork,11,2023-09-19,Denmark,"Port Of Entry-New London, New London, Connecticut",12,12 UNT, ,516000 KG,6607000,Classified: 8711.20,"1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 199 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 199 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 199 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 200 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 200 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 200 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 201 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 201 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 201 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 202 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 202 1 X BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - S ET 202 2ND NOTIFY: JOHN S. CONNOR GLEN BURNIE, MD 21061 USA"
Blades,Vineyard Wind 1,13,2023-10-01,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,3398000,Classified: 8502.31,LM 107. 0 P2 W/30MM STIFF PLT GE WIND BLADE
Equipment for tranportation of blades,Vineyard Wind 1,13,2023-10-01,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS, CM,229800 K,693000,Classified: 7326.90,6 PCS BLADE STACKING FRAME ROOT WITH INTERFACE TOOT 6 PCS BLADE STACKING FRAME TIP WITH INTERFACE TIP
Equipment for tranportation of blades,South Fork,11,2023-12-14,Denmark,"Port Of Entry-New London, New London, Connecticut",-,205 UNT, ,139430 KG,1178000,Classified: 7304.24,"TRANSPORT-EQUIPMENT FOR 12 BLADES (MOUNTED ON THE BLADES): ROOT BLADE FOOT NB12 ROOT ADAPTOR CONNECTOR NB12 RIGHT ROOT ADAPTOR CONNECTOR NB12, LEFT ROOT SUPPORT B81-NB12 (RETRO B75), ASSY TUBE SPACER 5 NB12, 2 PCS TUBE SPACER 3 NB12, 9 PCS TIP CLAMP NB12, ASM B81-NB12 TIP LOWER SECTION, ASSY CABLE DRUM LIFTER WITH YOKE 2ND NOTIFY KUEHNE + NAGEL INC. 6625 LENOX PARK DRIVE, SUITE 200 MEMPHIS, TN 38115, USA EMAIL TO: KNSGREBROKERAGE@KUEHNE-NAGEL. CC TO: ECC. US@SIEMENSGAMESA. COM"
Blades,South Fork,11,2023-12-14,Denmark,"Port Of Entry-New London, New London, Connecticut",13,13 UNT, ,516000 KG,895000,Classified: 8418.69; Classified: 8609.00,"BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 11 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 11 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 11 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 12 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 12 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 12 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 13 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 13 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 13 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 14 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 14 BLADE_B97-01 K01 7035 LEP 2. 1 (21+0)M - SET 2 14 END-USER: SOUTH FORK WIND, LLC 56 EXCHANGE TERRACE SUITE 300 02903, PROVIDENCE RI USA 2ND NOTIFY JOHN S. CONNOR 799 CROMWELL PARK DRIVE, SUITE A GLEN BURNIE, MD 21061 USA; HI-PARK-CONTAINER_20"": TCIU299848-4 (SEALNO 0006205)"
Blades,Vineyard Wind 1,13,2024-03-08,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,309204 K,2970000,Classified: 8502.31,W/30MM STIFF PLT GE WIND BLADE
Blades,Vineyard Wind 1,13,2024-03-31,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,3398000,Classified: 8502.31,LM 107. 0 P2 W/30MM STIFF PLT GE WIND BLADES
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-03-31,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS,1929 CM,229800 K,1153000,Classified: 7326.19,BLADE STACKING FRAME ROOT WITH INTERFACE ROOT (6 PCS); BLADES STACKING FRAME TIP WITH INTERFACE TIP (6 PCS);
Blades,Vineyard Wind 1,13,2024-04-24,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",2,2 PCS, CM,117912 K,1005000,Classified: 8502.31,LM 107. 0 P2 W/30MM STIFF PLT GE WIND BLADE
Blades,Vineyard Wind 1,13,2024-05-05,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,3122000,Classified: 8502.31,STIFF PLT GE WIND BLADE
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-05-05,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,24 PCS, CM,229800 K,621000,Classified: 7325.99,BLADE STACKING FRAME ROOT WITH INTERFACE ROOT BLADE STACKING FRAME ROOT TIP CLAMP INSTALLED ON FRAMES BLADE STACKING FRAME TIP WITH INTERFACE TIP BLADE STACKING FRAME TIP TIP CLAMP INSTALLED ON FRAMES
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-05-20,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,24 PCS,1929 CM,229800 K,8419000,Classified: 8422.40,SAID TO BE: - 6 BLADE STACKING FRAME ROOT WITH INTERFACE ROOT - 6 TIP CLAMP INSTALLED ON FRAMES - 6 BLADE STACKING FRAME TIP WITH INTERFACE TIP - 6 TIP CLAMP INSTALLED ON FRAMES
Blades,Vineyard Wind 1,13,2024-05-20,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,3122000,Classified: 8502.31,LM 107. 0. P2 W/ 30MM STIFF PLT GE WIND BLADES
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-06-01,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS,321645 CM,229800 K,1620000,Classified: 8708.29,BLADE STACKING FRAME ROOT WITH 6 INTERFACE ROOT MADE OF 12 SECTIONS (6 LOW/UPPER PARTS) BLADE STACKING FRAME TIP WITH 6 INTERFACE TIP MADE OF 12 SECTIONS (6 LOW/UPPER PARTS)
Blades,Vineyard Wind 1,13,2024-06-01,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,3122000,Classified: 8502.31,LM 107. 0 P2 W/30MM STIFF PLT GE WIND BLADES
Blades,Vineyard Wind 1,13,2024-06-16,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,1628000,Classified: 8502.31,LM 107. 0 P2 W/30MM STIFF PLT GE WIND BLADE
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-06-16,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS, CM,229800 K,1643000,Classified: 8708.29,BLADE STACKING FRAME ROOT WITH 6 INTERFACE ROOT MADEOF 12 SECTIONS (6 LOW/UPPER PARTS? BLADE STACKING FRAME TIP WITH 6 INTERFACE TIP MADE OF 12 SECTIONS (6 LOW/UPPER PARTS)
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-07-02,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS,321645 CM,229800 K,829000,Parsed: 7326.90.86.88,BLADE STACKING FRAME ROOT WITH 6 INTERFACE ROOT MADE OF 12 SECTION (6 LOW/UPPER PARTS) BLADE STACKING FRAME TIP WITH 6 INTERFACE TIP MADE OF 12 SECTIONS (6 LOW/UPPER PARTS) HS: 7326908688
Blades,Vineyard Wind 1,13,2024-07-02,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,2065000,Parsed: 8412.90.90.81,LM 107. 0 P2 W/20MM STIFF PLT GE WIND BLADE HTS 8412909081
