NREL category (Component category),NREL category (Associated Project),NREL category (turbine rating in MW),Arrival Date,Shipment Origin,Shipment Destination,Port of Lading,Quantity,_Quantity,Weight (kg),Weight (Original Format),Value of Goods (USD),HS Code,Goods Shipped,
Nacelles,Block Island,6,2016-07-31,France,"Newport, Rhode Island","Saint Nazaire, France",5 PCS,5,1800000,1800000 KG,51624000,Classified: 8412.90,NACELLES ON TRANSPORT FRAMES,
Nacelles,CVOW-Pilot,6,2020-06-18,Denmark,"Port of Virginia, Norfolk, Virginia","Halifax, Ns, Canada",19 PCS,2,179775,1797750 KG,1451000,; ; Classified: 8413.60; ; Classified: 8483.40; Classified: 7326.90,"CONSUMABLES; CONSUMABLES; SITE PARTS CANADA; CONSUMABLES; BLADE_B75 - SET 747 BLADE _B75 - SET 747 BLADE _B75 - SET 747 BLADE _B75 - SET 746 BLADE _B75 - SET 746 BLADE _B75 - SET 746 CLICKED NACELLE_WTG NO CV01 CLICKED NACELLE_WTG NO CV02 LIDAR (MOUNTED ON NACELLE) AVI/NAVI (MOUNTED ON NACELLE) TOWER (CONSISTING OF TOWER BOTTOM, TOWER MID, TOWER TOP) TOWER (CONSISTING OF TOWER BOTTOM, TOWER MID, TOWER TOP) HALF PLATFORM (ALREADY INCLUDED IN THE HALF-T OWER) SITE PARTS (DK) ALREADY INCLUDED IN THE HALF- TOWERS; SITE PARTS (US)",
Nacelles,Revolution Wind,11,2024-07-10,Germany,"Port Of Entry-New London, New London, Connecticut","Cuxhaven, Germany",6 PKG,6,3288600,3288600 KG,324351000,Classified: 8807.30,"1 X NACELLE_D1O_REV_CONFIG_01 - RV-01-AE07 - 10076159 1 X NACELLE_D1O_REV_CONFIG_01 - RV-1 1-AGOG - 10067905 1 X NACELLE_D10_REV_CONFIG_ 02 - RV-23-AJO2 - 10053160 1 X NACELLE_D1O_RE V_CONFIG_04 - RV-32-AE11 - 10054594 1 X NACEL LE_D1O_REV_CONFIG_01 - RV-43-AN16 - 10088955 1 X NACELLE_D10_REV_CONFIG_01 - RV-45-AK12 - 10088957 548. 100, 00 KG EACH 3 288, 600 KG",
Nacelles,Revolution Wind,11,2024-08-07,Germany,"Port Of Entry-New London, New London, Connecticut","Cuxhaven, Germany",18 PKG,8,4446580,4446580 KG,78260000,Classified: 6403.91,"1 X NACELLE_D10_REV_CONFIG_01 - RV-12-AGO7 - 10067915 1 X NACELLE_D1O_REV_CONFIG_01 - RV-15-AH05 - 10067910 1 X NACELLE_D1O_REV_CONFIG_03 - RV-29-AM19 - 10054157 1 X NACELLE_D1O_REV_CONFIG_03 - RV-30-AM20 - 10054158 1 X NACELLE_D1O_REV_CONFIG_05 - RV-38-AJ10 - 10055847 1 X NACELLE_D1O_REV_CONFIG_05 - RV-39-AJ11 - 10055918 1 X NACELLE_D1O_REV_CONFIG_05 - RV-40-AJ12 - 10058272 1 X NACELLE_D1O_REV_CONFIG_05 - RV-44-AP15 - 10088956 1 X SSTUNIT, 3 BATTERY CABINET SITEPART, EM US -1065288-233451 1 X SSTUNIT, 3 BATTERY CABINET SITEPART, EM US - 1065267-233450 1 X SSTUNIT, 3 BATTERY CABINET SITEPART, EM US - 1065265-23 3448 1 X SSTUNIT, 3 BATTERY CABINET SITEPART, E M US - 1065263-233446 1 X SSTUNIT, 3 BATTERY C ABINET SLTEPART, EM US - 1065277-233460 1 X SS TUNIT, 3 BATTERY CABINET SITEPART, EM US - 61 1 X SSTUNIT, 3 BATTERY CABINET SITE PART, EM US - 1065276-233459 1 X SSTUNIT, 3 BAT TERY CABINET SITEPART, EM US - 1068368-235347 1 X SSTUNIT, 3 BATTERY CABINET SLTEPART, EM US - 1068369-235348 1 X SSTUNIT, 3 BATTERY CABINE T SITEPART, EM US - 1065274-233457 END-USER: REVOLUTION WIND, LLC, 56 EXCHANGE TERRACE, SUITE 300, 02903, PROVIDENCE RI, USA OWNERS / CARRIERS LIABILITY ENDS UPON DISCHAR GING THE CARGO FROM MV FRAUKE IN NEW LONDON, USA. MASTER'S REMARKS: -CARGO LOADED FROM OPEN STO RAGE -NACELLE UNITS HAVE SPOTS OF DIFFERENT PAINT -SST UNIT'NG9/81014035T00401/1065268-233451( 21)': BROKEN LIFTING POIN 5PKG ON DECK/13 PKG UNDER DECK 4, 446, 580. 00 KG",
Nacelles,Revolution Wind,11,2024-10-07,Germany,"Port Of Entry-New London, New London, Connecticut","Cuxhaven, Germany",8 PKG,8,4384800,4384800 KG,130974000,Classified: 8807.30,"{4, 384, 800. 00 KGS} 1 X NACELLE_D10_REV_CONFIG_01 - RV-22-AJ05 - 10052966 1 X NACELLE_D10_REV_CONFIG_03 - RV-25-AE08 - 10053543 1 X NACELLE_D10_REV_CONFIG_05 - RV-35-AJ07 - 10055372 1 X NACELLE_D10_REV_CONFIG_05 - RV-41-AJ13 - 10111992 1 X NACELLE_D10_REV_CONFIG_05 - RV-42-AJ14 - 10111993 1 X NACELLE_D10_REV_CONFIG_05 - RV-47-AL18 - 10112953 1 X NACELLE_D10_REV_CONFIG_05 - RV-48-AM17 - 10116575 1 X NACELLE_D10_REV_CONFIG_05 - RV-49-AM18 - 10116577",
Nacelles,Revolution Wind,11,2025-01-14,Germany,"Port Of Entry-New London, New London, Connecticut","Cuxhaven, Germany",8 PKG,8,4384800,4384800 KG,227176000,Classified: 8807.30,1 X NACELLE_D10_REV_CONFIG_02 - RV-24-AL21 - 10053161 1 X NACELLE_D10_REV_CONFIG_04 - RV-3 3-AP16 - 10054951 1 X NACELLE_D10_REV_CONFIG_ 05 - RV-50-05 - 10119024 1 X NACELLE_D10_REV_ CONFIG_05 - RV-51-05 - 10121377 1 X NACELLE_D IO_REV_CONFIG_05 - RV-53-05 - 10107942 1 X NA CELLE_D1O_REV_CONFIG_05 - RV-55-05 - 10107944 1 X NACELLE_D1O_REV_CONFIG_05 - RV-58-05 - 1 0109043 1 X NACELLE_D10_REV_CONFIG_05 - RV-61 -05 - 10110895 EACH PKG WEIGHT 548100 KG 5 PKG ON DECK 3 PKG UNDER DECK,
Nacelles,South Fork,11,2023-08-15,Germany,"Port Of Entry-New London, New London, Connecticut","Cuxhaven, Germany",4 UNT,4,2192400,2192400 KG,650902000,Classified: 8807.30,"1 X NACELLE_D10_SF_CONFIG_02 - SF-04-AM06 1 X NACELLE_D10_SF_CONFIG_02 - SF-05-AM07 1 X NACELLE_D10_SF_CONFIG_02 - SF-07-AN06 1 X NACELLE_D10_SF_CONFIG_02 - SF-10-AP07 END-USER: SOUTH FORK WIND, LLC 56 EXCHANGE TERRACE SUITE 300 02903, PROVIDENCE RI USA 2ND NOTIFY: JOHN S. CONNOR 799 CROMWELL PARK DRIVE, SUITE A GLEN BURNIE, MD 21061 USA",
Nacelles,South Fork,11,2023-09-19,Germany,"Port Of Entry-New London, New London, Connecticut","Cuxhaven, Germany",4 UNT,4,2192400,2192400 KG,650902000,Classified: 8807.30,"1 X NACELLE_D10_SF_CONFIG_02 - SF-01-AM05 1 X NACELLE_D10_SF_CONFIG_04 - SF-02-AM05 1 X NACELLE_D10_SF_CONFIG_02 - SF-07-AN05 1 X NACELLE_D10_SF_CONFIG_02 - SF-10-AP08 END-USER: SOUTH FORK WIND, LLC 56 EXCHANGE TERRACE SUITE 300 02903, PROVIDENCE RI USA 2ND NOTIFY: JOHN S. CONNOR 799 CROMWELL PARK DRIVE, SUITE A GLEN BURNIE, MD 21061 USA",
Nacelles,South Fork,11,2023-12-14,Germany,"Port Of Entry-New London, New London, Connecticut","Cuxhaven, Germany",4 UNT,4,2192400,2192400 KG,11685000,Classified: 8418.21,"NACELLE_D10_SF_CONFIG_02-SF-03-AP09 10046114 NACELLE_D10_SF_CONFIG_02-SF-08-AN08 10048210 NACELLE_D10_SF_CONFIG_02-SF-09-AN09 10048390 NACELLE_D10_SF_CONFIG_02-SF-12-AM08 10048393 CUSTOMS REF: MRN 23DE450118239057B9 END-USER: SOUTH FORK WIND, LLC 56 EXCHANGE TERRACE SUITE 300 02903, PROVIDENCE RI USA 2ND NOTIFY JOHN S. CONNOR 799 CROMWELL PARK DRIVE, SUITE A GLEN BURNIE, MD 21061",
Nacelles,Vineyard Wind 1,13,2023-08-07,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Montoir, France",4 UNT,4,2716000,2716000 KG,69755000,Classified: 8483.30,VY01 / 13-6-NACELLE-97583 INCLUT FRAME DE TRA NSPORT 94729WOSINS0102 VY02 / 13-6-NACELLE-97917 INCLUT FRAME DE TRA NSPORT T84115WOSINS0002 VY04 / 13-6-NACELLE-97921 INCLUT FRAME DE TRA NSPORT 94729WOSINS0111 VY03 / 13-6-NACELLE-97920 INCLUT FRAME DE TRA NSPORT 94729WOSINS0100,
Nacelles,Vineyard Wind 1,13,2023-09-07,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Montoir, France",6 UNT,6,4074000,4074000 KG,103846000,Classified: 8483.60,WINDMILL NACELLES: VY05 / 13-6-NACELLE-97095 VY06 / 13-6-NACELLE-97587 VY07 / 13-6-NACELLE-97590 VY08 / 13-6-NACELLE-97923 VY08 / 13-6-NACELLE-97923 VY10 / 13-6-NACELLE-97902,
Nacelles,Vineyard Wind 1,13,2023-11-01,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Montoir, France",5 UNT,5,3395000,3395000 KG,41721000,Classified: 8483.60,WINDMILL NACELLES VY11 / 13-6-NACELLE-97919 VY12 / 13-6-NACELLE-97922 VY13 / 13-6-NACELLE-97584 VY14 / 13-6-NACELLE-97588 VY16 / 13-6-NACELLE-97925,
Nacelles,Vineyard Wind 1,13,2024-01-15,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Montoir, France",6 UNT,6,4074000,4074000 KG,50065000,Classified: 8483.60,WINDMILL NACELLES: VY17 / 13-6-NACELLE-97926 VY18 / 13-6-NACELLE-97928 VY19 / 13-6-NACELLE-97930 VY20 / 13-6-NACELLE-97932 VY21 / 13-6-NACELLE-97934 VY22 / 13-6-NACELLE-97936,
Nacelles,Vineyard Wind 1,13,2024-04-02,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Montoir, France",6 UNT,6,4074000,4074000 KG,67543000,Classified: 8503.00,WINDMILL NACELLES VY15 / 13-6-NACELLE-97924 VY23 / 13-6-NACELLE-97591 VY24 / 13-6-NACELLE-97927 VY26 / 13-6-NACELLE-97585 VY46 / 13-6-NACELLE-97937 VY47 / 13-6-NACELLE-97586,
Nacelles,Vineyard Wind 1,13,2024-05-12,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Montoir, France",6 UNT,6,4074000,4074000 KG,76766000,Classified: 8412.90,WINDMILL NACELLES: VY32 / 13-6-NACELLE-97924 VY33 / 13-6-NACELLE-97591 VY34 / 13-6-NACELLE-97927 VY35 / 13-6-NACELLE-97585 VY48 / 13-6-NACELLE-97937 VY49 / 13-6-NACELLE-97586,
Nacelles,Vineyard Wind 1,13,2024-07-18,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Montoir, France",5 UNT,5,3395000,3395000 KG,53240000,Classified: 8503.00,VY25 13-6-NACELLE-97929 VY36 13-6-NACELLE-97960 VY28 13-6-NACELLE-97931 VY29 13-6-NACELLE-97954 VY50 13-6-NACELLE-97954,
Nacelles,Vineyard Wind 1,13,2024-09-02,France,"Port of New Bedford Business Alliance, New Bedford, Massachusetts","Montoir, France",6 UNT,6,4074000,4074000 KG,128657000,Classified: 8807.30,VY27 / 13-6-NACELLE-97589 VY41 / 13-6-NACELLE-97956 VY30 / 13-6-NACELLE-97935 VY31 / 13-6-NACELLE-97938 VY52 / 13-6-NACELLE-97961 VY51 / 13-6-NACELLE-97958,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
